iter	RMSE
243	4.646384782
244	4.645861504
245	4.644204161
246	4.643757258
247	4.640830276
248	4.635173009
249	4.634074357
250	4.62963756
251	4.627394299
252	4.625686141
253	4.621852384
254	4.61635994
255	4.613100974
256	4.608781369
257	4.607730531
258	4.604613195
259	4.601020567
260	4.598539592
261	4.595063399
262	4.589510949
263	4.589137668
264	4.588307764
265	4.586429756
266	4.581410508
267	4.57770375
268	4.574878671
269	4.571128807
270	4.5677989
271	4.567455583
272	4.566091749
273	4.561027175
274	4.55548784
275	4.553666769
276	4.551652846
277	4.547874552
278	4.544094971
279	4.54184893
280	4.540745838
281	4.536729383
282	4.532150099
283	4.530895446
284	4.528619199
285	4.526249132
286	4.520070227
287	4.517874095
288	4.511154148
289	4.510027763
290	4.506521763
291	4.505952439
292	4.505303024
293	4.503879268
294	4.502759978
295	4.498248099
296	4.494469839
297	4.490558496
298	4.487321006
299	4.486351141
300	4.483133229
301	4.482282286
302	4.481691148
303	4.476909107
304	4.471428033
305	4.469139008
306	4.466823725
307	4.462417378
308	4.458825531
309	4.453285298
310	4.447835922
311	4.445016926
312	4.444438082
313	4.441891019
314	4.437249367
315	4.436484907
316	4.43295148
317	4.432656274
318	4.42860745
319	4.425053056
320	4.42149539
321	4.419564284
322	4.415594662
323	4.413536739
324	4.409735429
325	4.405657111
326	4.401976111
327	4.400161752
328	4.399138684
329	4.397621237
330	4.397206553
331	4.393592626
332	4.390390215
333	4.385198146
334	4.384112201
335	4.380809467
336	4.379841843
337	4.374661777
338	4.371484286
339	4.368405163
340	4.367695212
341	4.363771458
342	4.358530601
343	4.355949732
344	4.355293652
345	4.351056821
346	4.345191314
347	4.342087279
348	4.339729027
349	4.337993804
350	4.333270756
351	4.332494506
352	4.327916935
353	4.323032093
354	4.319932165
355	4.31663488
356	4.315670073
357	4.3106885
358	4.308073541
359	4.304319256
360	4.299927487
361	4.299132174
362	4.295859377
363	4.294782348
364	4.292432786
365	4.286543862
366	4.28435924
367	4.277607077
368	4.276648577
369	4.275520553
370	4.272525343
371	4.270320005
372	4.264400859
373	4.262618832
374	4.26235342
375	4.261379645
376	4.261217615
377	4.25802007
378	4.253870226
379	4.251943523
380	4.246854651
381	4.243858922
382	4.243012731
383	4.237623549
384	4.23702131
385	4.234904475
386	4.23455464
387	4.233683512
388	4.228183627
389	4.227424311
390	4.225843006
391	4.223634998
392	4.219358673
393	4.216809512
394	4.21657255
395	4.212414513
396	4.20844537
397	4.207737426
398	4.207416382
399	4.206724076
400	4.205238109
401	4.203174108
402	4.202284252
403	4.199258993
404	4.197862216
405	4.197638796
406	4.197317171
407	4.192361875
408	4.188981075
409	4.188677273
410	4.187184061
411	4.183684438
412	4.181979321
413	4.179378767
414	4.177916141
415	4.17445465
416	4.17106515
417	4.167839282
418	4.166933043
419	4.165041971
420	4.164859625
421	4.159164912
422	4.156085369
423	4.155053462
424	4.152191227
425	4.148226656
426	4.146631509
427	4.144553587
428	4.140529523
429	4.140315546
430	4.1383148
431	4.136703883
432	4.136421664
433	4.136172251
434	4.135109035
435	4.133795987
436	4.133024269
437	4.130905003
438	4.129462684
439	4.125576329
440	4.122328076
441	4.118240246
442	4.115114193
443	4.107743659
444	4.106302747
445	4.104609037
446	4.100773944
447	4.099414681
448	4.097606773
449	4.09351628
450	4.091532
451	4.087356237
452	4.084616179
453	4.08303294
454	4.080928482
455	4.080340601
456	4.075640107
457	4.073181651
458	4.073016503
459	4.072750127
460	4.07202347
461	4.071878457
462	4.070144056
463	4.0654867
464	4.063012547
465	4.062444776
466	4.058240541
467	4.0569808
468	4.053740426
469	4.049004585
470	4.044655132
471	4.044054648
472	4.040677557
473	4.039724388
474	4.036472914
475	4.034716609
476	4.032283159
477	4.030447916
478	4.028960082
479	4.025946815
480	4.024318482
481	4.023860284
482	4.023529989
483	4.017944637
484	4.014954512
485	4.014218335
486	4.011036447
487	4.007988527
488	4.004175977
489	4.003927846
490	4.003789124
491	3.99974435
492	3.997894417
493	3.99720438
494	3.994485122
495	3.994006555
496	3.99260381
497	3.988992259
498	3.988176151
499	3.986082177
500	3.983497946
501	3.981516102
502	3.977248036
503	3.976739932
504	3.973778781
505	3.970203188
506	3.969797086
507	3.968009877
508	3.966707179
509	3.963885142
510	3.961546622
511	3.959771404
512	3.959658506
513	3.957657856
514	3.955588263
515	3.9537436
516	3.951575599
517	3.951029603
518	3.950556429
519	3.946872414
520	3.946811223
521	3.943773534
522	3.943486241
523	3.940186667
524	3.935253164
525	3.931116267
526	3.929390489
527	3.928133766
528	3.926676361
529	3.925537534
530	3.924960101
531	3.924502896
532	3.923080575
533	3.920283248
534	3.91982555
535	3.91807942
536	3.915201145
537	3.912331163
538	3.910292689
539	3.908046423
540	3.907279207
541	3.904912701
542	3.900178249
543	3.897247423
544	3.89657176
545	3.893730455
546	3.889794073
547	3.887862535
548	3.887327007
549	3.884744866
550	3.884166102
551	3.88138148
552	3.879157201
553	3.876776909
554	3.874700501
555	3.874589267
556	3.874219866
557	3.87381401
558	3.870453053
559	3.868096357
560	3.864408948
561	3.863937621
562	3.858291286
563	3.856485073
564	3.854976102
565	3.853406356
566	3.85142824
567	3.845502092
568	3.845083093
569	3.842297518
570	3.839512352
571	3.837930473
572	3.833741698
573	3.829260152
574	3.829068733
575	3.827708745
576	3.826464406
577	3.82080552
578	3.820235377
579	3.817115384
580	3.816912376
581	3.812030044
582	3.81051158
583	3.80868401
584	3.806918402
585	3.805823395
586	3.802640253
587	3.798122478
588	3.797397345
589	3.793219927
590	3.790768453
591	3.790249501
592	3.789748834
593	3.788153226
594	3.787784024
595	3.787399743
596	3.784223196
597	3.783928764
598	3.780188262
599	3.776275755
600	3.774962055
601	3.771180794
602	3.77108613
603	3.768737855
604	3.767471659
605	3.766591913
606	3.76331363
607	3.761908421
608	3.758026174
609	3.754848617
610	3.754445004
611	3.753293214
612	3.752320787
613	3.750479486
614	3.747468816
615	3.745968379
616	3.743286111
617	3.743201819
618	3.740566533
619	3.735391938
620	3.733819638
621	3.7319992
622	3.73100824
623	3.728061418
624	3.727716241
625	3.727440018
626	3.723761766
627	3.72202582
628	3.720145939
629	3.717468125
630	3.715841138
631	3.713350664
632	3.712511072
633	3.711725008
634	3.708589312
635	3.703378895
636	3.700594392
637	3.700321119
638	3.695287338
639	3.693545423
640	3.691116345
641	3.690237625
642	3.689843039
643	3.688082475
644	3.683228257
645	3.68220037
646	3.68110243
647	3.680093414
648	3.679395983
649	3.67899331
650	3.675403963
651	3.671242405
652	3.670085256
653	3.667868343
654	3.663227344
655	3.661471147
656	3.658700738
657	3.654763013
658	3.652425005
659	3.652010929
660	3.651149379
661	3.650866686
662	3.646997614
663	3.646310068
664	3.646068743
665	3.645988377
666	3.645918538
667	3.642880469
668	3.640415055
669	3.638770135
670	3.637465384
671	3.637041149
672	3.634143723
673	3.632729391
674	3.632665822
675	3.630962506
676	3.628560566
677	3.62581777
678	3.624288329
679	3.622057223
680	3.621769249
681	3.617482231
682	3.614657535
683	3.614531019
684	3.614117703
685	3.612175737
686	3.61166377
687	3.609184429
688	3.608478532
689	3.608180443
690	3.606789813
691	3.60362103
692	3.601120062
693	3.598978303
694	3.596044103
695	3.592945103
696	3.589845219
697	3.586490501
698	3.585984608
699	3.58533557
700	3.584949962
701	3.5830331
702	3.581516774
703	3.581158971
704	3.580844492
705	3.57779362
706	3.57684343
707	3.571761105
708	3.570810449
709	3.566944501
710	3.5643075
711	3.563561421
712	3.563297968
713	3.561451136
714	3.560013429
715	3.556355186
716	3.553398786
717	3.553010039
718	3.549511987
719	3.549021788
720	3.547735115
721	3.54366602
722	3.543431311
723	3.5422219
724	3.540052325
725	3.537786162
726	3.535068185
727	3.534910259
728	3.533197242
729	3.531969468
730	3.530447397
731	3.527745052
732	3.526635163
733	3.523375428
734	3.522045309
735	3.517165417
736	3.515060497
737	3.514462205
738	3.513218557
739	3.510681139
740	3.507544985
741	3.507169394
742	3.505765035
743	3.504743993
744	3.504017316
745	3.500766194
746	3.498544291
747	3.495761297
748	3.493476974
749	3.489094387
750	3.487619332
751	3.482028579
752	3.479642235
753	3.476004872
754	3.475167939
755	3.473773557
756	3.471800891
757	3.471582962
758	3.470752282
759	3.468482389
760	3.467572905
761	3.46609912
762	3.464138025
763	3.463925144
764	3.461292093
765	3.45909923
766	3.456334716
767	3.451734503
768	3.449101202
769	3.447692686
770	3.447594131
771	3.44746295
772	3.445785873
773	3.443561122
774	3.442221414
775	3.440531522
776	3.436760008
777	3.434113221
778	3.433844938
779	3.432185014
780	3.432084538
781	3.429651883
782	3.428708468
783	3.428038131
784	3.425010039
785	3.424377309
786	3.424310122
787	3.421687116
788	3.420565839
789	3.419070833
790	3.415929489
791	3.415120511
792	3.413109304
793	3.409472567
794	3.4078951
795	3.407068955
796	3.405814185
797	3.40459071
798	3.402691884
799	3.401257103
800	3.400400296
801	3.396983821
802	3.39466775
803	3.393185982
804	3.389776293
805	3.387554569
806	3.385715142
807	3.38148776
808	3.381370206
809	3.37939381
810	3.379034855
811	3.376800564
812	3.374290015
813	3.371230619
814	3.37040036
815	3.370323809
816	3.368011763
817	3.365002642
818	3.364941278
819	3.363176991
820	3.361226924
821	3.359223675
822	3.357085783
823	3.356592759
824	3.356194157
825	3.352318527
826	3.352228467
827	3.349955148
828	3.346711141
829	3.34456826
830	3.343599876
831	3.34232609
832	3.339722873
833	3.339430176
834	3.337816137
835	3.337689656
836	3.336284315
837	3.334016935
838	3.333847562
839	3.331346355
840	3.330202347
841	3.329360033
842	3.326535648
843	3.325624121
844	3.32437385
845	3.322025831
846	3.321863066
847	3.320941374
848	3.317803379
849	3.316077633
850	3.314937741
851	3.312633414
852	3.310217533
853	3.309424766
854	3.308151325
855	3.308031767
856	3.307349805
857	3.306310286
858	3.30314705
859	3.300765536
860	3.29984365
861	3.299203385
862	3.298334122
863	3.295017784
864	3.293855837
865	3.293703124
866	3.291249273
867	3.289688466
868	3.289503536
869	3.286855288
870	3.28574358
871	3.28307496
872	3.282081601
873	3.280249862
874	3.279779015
875	3.279731668
876	3.279489549
877	3.279422036
878	3.278246259
879	3.278165005
880	3.277070783
881	3.273598654
882	3.271377487
883	3.270153465
884	3.268694848
885	3.267514929
886	3.266464053
887	3.264747386
888	3.263387761
889	3.262611294
890	3.261187921
891	3.260047048
892	3.259376253
893	3.257302122
894	3.25678664
895	3.254263803
896	3.253162555
897	3.251015973
898	3.250782127
899	3.248894477
900	3.246228206
901	3.245382212
902	3.244554878
903	3.244520172
904	3.242718978
905	3.240307698
906	3.240116945
907	3.23799437
908	3.234545115
909	3.233407932
910	3.232104702
911	3.228799621
912	3.227552776
913	3.226162897
914	3.225740277
915	3.225694227
916	3.224801972
917	3.223786737
918	3.223457313
919	3.222854006
920	3.220888066
921	3.218625681
922	3.216178607
923	3.213707286
924	3.21308886
925	3.211973133
926	3.211115328
927	3.210906403
928	3.21007547
929	3.208536531
930	3.206845318
931	3.205888775
932	3.205650481
933	3.202090086
934	3.200015384
935	3.198300706
936	3.198256193
937	3.198060311
938	3.196852099
939	3.196791397
940	3.194633156
941	3.194372787
942	3.191717889
943	3.189651023
944	3.184612376
945	3.184021344
946	3.18196588
947	3.180909203
948	3.180151858
949	3.179423001
950	3.17702319
951	3.17678926
952	3.176282206
953	3.175248707
954	3.174252592
955	3.171800633
956	3.170023097
957	3.169270394
958	3.168353646
959	3.166447101
960	3.162152928
961	3.159669436
962	3.15780776
963	3.157601865
964	3.154698703
965	3.15443723
966	3.15224427
967	3.151675831
968	3.149830079
969	3.148801258
970	3.147516919
971	3.144819615
972	3.144038976
973	3.142453405
974	3.141530413
975	3.140779509
976	3.139866153
977	3.13762314
978	3.137457597
979	3.136995066
980	3.13567971
981	3.134006444
982	3.132296617
983	3.131989958
984	3.131361345
985	3.130391551
986	3.130226056
987	3.130006044
988	3.129215308
989	3.128493431
990	3.125422035
991	3.125377876
992	3.125215555
993	3.124345239
994	3.121871717
995	3.121649765
996	3.12145835
997	3.119190384
998	3.117154627
999	3.11632387
